
="",="(1)",="(2)",="(3)",="(4)"
="",="log perceived risk",="log perceived risk",="log perceived iqr",="log perceived iqr"

="(p 50) wagegrowth",="-0.05***",="",="-0.03***",=""
="",="(0.01)",="",="(0.01)",=""

="(p 50) unemp_rate",="",="0.04*",="",="0.04***"
="",="",="(0.02)",="",="(0.01)"

="Observations",="3589",="3589",="3596",="3596"
="R-squared",="0.021",="0.019",="0.025",="0.027"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
